Strain Category,Z1,Z2.5,PGV1,Magnitude,Depth2,Rrup1,Vs10,Vs30,Vs50,Vs100,VsMean,VsMin,VsMax,VsZhole,EQcategory1,boreholeDepth,PGA (g),kappa surface
1,74,620,0.00016505,5.6,56,135.745,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.02019344,0.05319
1,74,620,0.00013805,4.4,98,103.895,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.010175748,0.060326
1,74,620,0.00014668,5.1,44,130.495,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.009705659,0.064731
1,74,620,0.0010223,6,50,116.995,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.071171093,0.060695
1,74,620,0.00013249,4.9,41,116.335,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.010557122,0.061751
1,74,620,0.000089739,4.9,53,115.19,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.010078875,0.054801
1,74,620,0.00012591,4.8,74,119.91,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.011522793,0.052381
1,74,620,0.0001115,4.5,65,101.505,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.025492905,0.050317
1,74,620,0.00010621,4.7,86,104.95,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.011627824,0.051772
1,74,620,0.000057499,4.3,53,90.565,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.014940882,0.060487
1,74,620,0.0002585,5.8,53,139.18,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.026801201,0.053884
1,74,620,0.00017418,5.1,110,143.315,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.009805591,0.045846
1,74,620,0.00014463,5.4,47,118.885,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.010949713,0.04911
1,74,620,0.00055373,5.7,44,99.085,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.022826347,0.052825
1,74,620,0.00020279,4.9,47,100.115,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.011439176,0.062653
1,74,620,0.000037353,4.3,86,91.675,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,4,114,0.006954465,0.050132
1,74,620,0.000076675,5,47,147.31,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,1,114,0.015069366,0.04567
1,74,620,0.00055162,6.3,38,141.74,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.01326039,0.061214
1,74,620,0.0006624,5.8,53,138.935,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.04797051,0.051092
1,74,620,0.00037291,6.1,41,100.48,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.025856944,0.052997
1,74,620,0.000078609,4.9,5,84.945,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,2,114,0.037774367,0.048042
1,74,620,0.00085743,5.9,50,145.01,226.2371134,378.362069,475,647.8235377,695.0448353,140,1450,1450,3,114,0.010474525,0.05565
